,id,valid,pre_pt_supervoxel_id,pre_pt_root_id,post_pt_supervoxel_id,post_pt_root_id,size,pre_pt_position,post_pt_position,ctr_pt_position,pial_distances,cortex_layer
2426,193218010,t,91909552295262349,864691135785459396,91909552295256315,864691135491529311,3656,[197220 120030  22376],[197292 120062  22375],[197264 120034  22376],"[744.0328582226107, 150.3773885762969, 895.0400000000003]",L2/3
2450,187559684,t,91204971500369443,864691136903005106,91204971500361458,864691135491529311,7772,[192390 113686  22418],[192390 113776  22413],[192424 113710  22413],"[726.9980407834427, 123.41410296763603, 896.7200000000003]",L2/3
2462,192843518,t,92048984113668745,864691135926430932,92048984113670058,864691135491529311,2764,[198304 110384  22458],[198178 110472  22452],[198252 110412  22456],"[751.7151756117122, 112.3181196456789, 898.3200000000003]",L2/3
2482,177214649,t,91063890481594491,864691135730173113,91134259225751129,864691135491529311,4900,[191408 110888  22797],[191546 110874  22798],[191478 110914  22797],"[724.0604350821701, 111.92234414908046, 911.8800000000002]",L2/3
2511,172449668,t,90149646630055824,864691135696108698,90149646630051568,864691135491529311,3064,[184548 115254  23157],[184406 115288  23154],[184480 115258  23159],"[695.2027646751875, 126.92833477555897, 926.2800000000002]",L2/3
2514,187782369,t,91487271177924604,864691135367040249,91487271177928397,864691135491529311,8612,[194244 119702  22959],[194216 119754  22962],[194190 119698  22955],"[732.2885048710115, 148.0328791707325, 918.3600000000002]",L2/3
2540,178956811,t,90783102632402765,864691135081692407,90783102632391133,864691135491529311,1000,[189156 116338  22157],[189176 116366  22149],[189182 116374  22151],"[713.1867180498608, 132.85428963680957, 886.2800000000002]",L2/3
2574,172392303,t,90081957811300476,864691135516165075,90081957811291438,864691135491529311,1328,[184088 135122  22192],[184178 135168  22187],[184118 135175  22190],"[686.4433252430568, 205.9375532556505, 887.6800000000003]",L2/3
2592,205302515,t,92964327543840858,864691136812065651,92964327543848796,864691135491529311,3800,[205294 114696  22494],[205316 114656  22504],[205334 114656  22503],"[778.0655171194458, 131.9373603655899, 899.7600000000002]",L2/3
2627,192762955,t,91978959033564377,864691136134402443,91978959033564244,864691135491529311,4460,[197826 113246  22590],[197806 113098  22586],[197808 113176  22586],"[748.8126924059856, 123.55591476929968, 903.6000000000003]",L2/3
2706,180969546,t,90925764199147793,864691135446610004,90925832918615535,864691135491529311,1876,[190482 130740  21802],[190408 130856  21795],[190412 130820  21800],"[713.4496667003323, 190.70534786401242, 872.0800000000003]",L2/3
2745,193218359,t,91979783600497564,864691136297091355,91979783600504070,864691135491529311,4424,[197794 119394  22367],[197710 119412  22376],[197748 119426  22368],"[746.5418454589794, 148.0431788497002, 894.6800000000003]",L2/3
2764,172173756,t,90430022095338911,864691134917685514,90430022095327112,864691135491529311,5184,[186858 107050  23356],[186748 107034  23345],[186826 106994  23354],"[707.2677065395625, 95.04252862596861, 934.2400000000002]",L1
2770,173591046,t,90220564996119176,864691135517642378,90220633715591629,864691135491529311,492,[185168 119468  22415],[185238 119534  22424],[185166 119500  22419],"[696.2042303267007, 143.93633884860768, 896.6000000000003]",L2/3
2846,177653143,t,90925214510505041,864691135386795905,90925214510491645,864691135491529311,4784,[190214 126350  22366],[190208 126344  22353],[190184 126402  22358],"[713.9122008266268, 173.11873800929595, 894.6400000000002]",L2/3
