id,pt_root_id,pt_position_x,pt_position_y,pt_position_z,session,scan_idx,unit_id
192276,864691136951622879,141712,149360,19241,6,6,4177
192292,864691136388977271,145408,148016,19334,6,7,3993
192292,864691136388977271,145408,148016,19334,6,6,4442
192301,864691135753574605,146256,150304,18995,6,6,4154
192347,864691136619214477,134112,148512,20157,6,6,4403
190171,864691135577784581,147168,128416,18453,9,4,5058
192184,864691135992393409,133600,151840,19431,6,4,4543
190134,864691136066420376,140912,132224,18149,9,4,7675
157197,864691136041056086,130224,149376,19520,6,6,4345
157207,864691135502671965,130912,148736,19996,6,6,4409
192772,864691135693452991,135904,159776,21442,9,3,2211
192709,864691135715917338,146560,155648,20409,6,2,4699
192866,864691135731098297,132320,148608,22496,6,4,4527
192598,864691135859919208,137520,159792,20268,5,6,5009
192795,864691135741004651,139920,148320,21392,6,6,4205
192530,864691135498682899,144496,150032,19667,6,6,4180
192530,864691135498682899,144496,150032,19667,6,6,4502
192519,864691135511664080,142304,148320,19618,6,7,3887
192873,864691135947773281,134352,150640,22238,6,4,4561
192568,864691135660523760,133936,153808,21050,6,2,4924
192705,864691135940611238,146608,147040,20920,6,6,4182
192504,864691135569958278,142176,156048,19682,6,2,4700
192739,864691136390368127,131984,148576,21831,6,6,4408
192797,864691135995006122,140128,152800,21467,6,2,4723
192748,864691135851644103,133968,144672,21523,6,7,3956
192536,864691135163330349,146336,152400,20074,6,2,5020
192788,864691136091807924,138832,147792,21710,6,6,4552
192627,864691135211120320,141952,144704,20758,6,7,3889
192848,864691135945478692,146896,147120,21306,6,6,4183
192687,864691135387493761,145952,156688,20545,5,7,5378
192562,864691135687812320,132736,147776,20638,6,6,4471
192849,864691136109769912,147328,145296,21205,6,7,3890
192702,864691135926611982,146656,145232,20754,6,7,4383
192366,864691136521842321,136128,146864,20271,6,7,4039
192728,864691135701302907,131632,147024,21175,6,6,4562
192774,864691136009628590,136640,153280,21630,6,2,4725
192699,864691136194766294,146000,159712,20903,5,6,4862
192790,864691135938266628,138784,155200,21667,5,7,5042
192606,864691135489239098,139344,148784,20835,6,6,4198
192647,864691136090196023,144624,147472,20455,6,7,4189
