pre_pt_root_id,post_pt_root_id,syn_volume
864691135346685855,864691135569673452,8212
864691135346685855,864691135571742445,8016
864691135346685855,864691135867411478,12188
864691135346685855,864691136137066877,1180
864691135346685855,864691136297766939,5472
864691135346805663,864691135509573641,4820
864691135346805663,864691135545464104,5828
864691135346805663,864691135856679726,30164
864691135346805663,864691136389080183,4544
864691135346805663,864691136911633137,11196
864691135346954143,864691135014479766,1620
864691135346954143,864691135119056861,2740
864691135346954143,864691135257086127,4076
864691135346954143,864691135273289489,1100
864691135346954143,864691135307793478,3092
864691135346954143,864691135356428751,29128
864691135346954143,864691135441799752,4352
864691135346954143,864691135476788648,2460
864691135346954143,864691135510719440,5424
864691135346954143,864691135511496656,4576
864691135346954143,864691135544417832,756
864691135346954143,864691135561071585,9376
864691135346954143,864691135571935725,3848
864691135346954143,864691135585662584,464
864691135346954143,864691135716315930,9228
864691135346954143,864691135749449513,2784
864691135346954143,864691135763300406,348
864691135346954143,864691135849033822,3172
864691135346954143,864691135890472073,484
864691135346954143,864691135919801008,2264
864691135346954143,864691135941226150,3104
864691135346954143,864691135988557315,36720
864691135346954143,864691136011790755,13164
864691135346954143,864691136040876030,600
864691135346954143,864691136124758054,2336
864691135346954143,864691136144547892,2132
864691135346954143,864691136195455190,2928
864691135346954143,864691136209119932,10624
864691135346954143,864691136228870481,1824
864691135346954143,864691136274974477,6736
864691135346954143,864691136444692611,6624
864691135346954143,864691136578410004,9184
864691135346954143,864691136673469831,3148
864691135346954143,864691137055089014,10076
864691135347045023,864691135492335847,24504
864691135347045023,864691135586909820,20340
864691135347045023,864691135800694114,6604
864691135347045023,864691136021684728,2856
864691135349839831,864691135210917824,19676
864691135349839831,864691135941226150,9584
864691135349839831,864691136110743992,6592
864691135349839831,864691136228870481,8464
864691135349839831,864691136275291405,2028
864691135349839831,864691136296677147,5764
864691135349839831,864691136311842621,3812
