pt_root_id,nucleus_id,cell_type,tuning_type,layer,axon_proof,dendr_proof,pref_ori,pial_dist_x,pial_dist_y,pial_dist_z
864691135696937882,330744,exc,selective,L4,non,non,3,729.4310504879262,283.3146234914226,946.4800000000002
864691135387576193,298680,exc,not_matched,L4,non,non,0,690.621689675958,350.20269412712315,794.7600000000002
864691135539082610,223124,exc,not_matched,L23,non,non,0,548.6976687975631,147.6223211940353,982.6400000000002
864691135517195219,188917,exc,selective,L23,non,non,0,494.23297529793024,148.18956892743364,891.9600000000003
864691135565277463,362732,exc,not_selective,L4,non,non,4,836.3517909555152,253.7368275988531,701.1200000000001
864691135725223083,392479,exc,selective,L23,non,non,0,905.0968043837598,225.0592233622637,755.7600000000001
864691135988021507,328380,exc,not_matched,L23,non,non,0,735.9047876230188,218.86559886338242,876.9600000000003
864691136298111003,424435,exc,selective,L23,clean,extended,4,980.2674634744167,249.23878853362828,977.5200000000002
864691136723370749,109999,exc,not_matched,L23,non,non,0,377.6490270012299,166.32160619720335,877.5600000000003
864691136578408468,453727,exc,selective,L23,non,non,2,1029.2124830483517,181.0531611704727,761.2800000000001
864691135491394919,294358,exc,not_matched,L23,non,non,0,676.9826041997165,208.69950715463207,802.4000000000002
864691136286545347,76997,exc,not_matched,L4,non,non,0,296.1400053651453,338.6895388991079,818.1600000000002
864691135977302339,457069,exc,selective,L4,non,non,2,1020.8435955018098,317.09745416813337,704.3200000000002
864691136273713854,257409,exc,not_matched,L23,non,non,0,642.2506220127007,218.70247978084703,606.2800000000001
864691135645080047,70701,inh,not_matched,L23,non,non,0,331.7664272482307,209.78406190216873,763.6800000000002
864691135864089470,21781,exc,not_matched,L23,non,non,0,274.9735532291293,115.06580522136576,670.1600000000001
864691135155568740,429111,exc,not_matched,L4,non,non,0,952.079564996928,355.53855400572513,1044.8800000000003
864691135455002730,332261,exc,not_matched,L4,non,non,0,771.480777564261,353.4222794842296,707.7600000000001
864691136436941982,224737,exc,not_matched,L23,non,non,0,584.2505373623825,210.48015087986428,966.2000000000003
864691135759244110,325932,exc,selective,L23,non,non,3,787.4343715831299,154.1825595339116,752.4400000000002
864691136273684749,73209,exc,not_matched,L4,non,non,0,297.24666828939587,311.35397083893974,618.6000000000001
864691135545242152,452128,exc,not_matched,L23,non,non,0,1039.4342966105835,116.35385051341105,638.5200000000001
